,,2023-04-27
A,open,132.9600067138672
A,close,133.25
AAL,open,12.970000267028809
AAL,close,12.880000114440918
AAP,open,121.80000305175781
AAP,close,124.9000015258789
AAPL,open,165.19000244140625
AAPL,close,168.41000366210938
ABBV,open,153.8699951171875
ABBV,close,148.8699951171875
ABC,open,164.99000549316406
ABC,close,167.41000366210938
ABT,open,108.70999908447266
ABT,close,109.5
ACGL,open,72.62000274658203
ACGL,close,73.87999725341797
ACN,open,273.8500061035156
ACN,close,275.45001220703125
ADBE,open,365.94000244140625
ADBE,close,371.4200134277344
ADI,open,178.52999877929688
ADI,close,177.6199951171875
ADM,open,76.69999694824219
ADM,close,78.01000213623047
ADP,open,211.99000549316406
ADP,close,216.16000366210938
ADSK,open,192.35000610351562
ADSK,close,190.11000061035156
AEE,open,88.87999725341797
AEE,close,89.72000122070312
AEP,open,92.36000061035156
AEP,close,92.80999755859375
AES,open,23.309999465942383
AES,close,23.56999969482422
AFL,open,65.5999984741211
AFL,close,69.47000122070312
AIG,open,51.099998474121094
AIG,close,52.13999938964844
AIZ,open,117.18000030517578
AIZ,close,119.95999908447266
AJG,open,205.0800018310547
AJG,close,209.0500030517578
AKAM,open,79.66000366210938
AKAM,close,81.72000122070312
ALB,open,181.85000610351562
ALB,close,186.0
ALGN,open,321.95001220703125
ALGN,close,317.7300109863281
ALK,open,42.459999084472656
ALK,close,42.970001220703125
ALL,open,113.86000061035156
ALL,close,115.25
ALLE,open,110.54000091552734
ALLE,close,111.44000244140625
AMAT,open,111.30000305175781
AMAT,close,111.68000030517578
AMCR,open,10.739999771118164
AMCR,close,10.920000076293945
AMD,open,86.41000366210938
AMD,close,87.44000244140625
AME,open,134.4199981689453
AME,close,137.3699951171875
AMGN,open,239.24000549316406
AMGN,close,240.33999633789062
AMP,open,294.6700134277344
AMP,close,302.4100036621094
AMT,open,200.33999633789062
AMT,close,205.63999938964844
AMZN,open,108.16000366210938
AMZN,close,109.81999969482422
ANET,open,157.00999450683594
ANET,close,156.75999450683594
ANSS,open,312.9599914550781
ANSS,close,315.0
AON,open,327.7799987792969
AON,close,332.8599853515625
AOS,open,69.58999633789062
AOS,close,68.55999755859375
APA,open,35.41999816894531
APA,close,35.65999984741211
APD,open,288.1499938964844
APD,close,291.3800048828125
APH,open,73.72000122070312
APH,close,74.79000091552734
APTV,open,102.94999694824219
APTV,close,101.6500015258789
ARE,open,120.12999725341797
ARE,close,122.72000122070312
ATO,open,114.06999969482422
ATO,close,114.94000244140625
ATVI,open,77.16999816894531
ATVI,close,77.61000061035156
AVB,open,174.52999877929688
AVB,close,177.64999389648438
AVGO,open,616.1900024414062
AVGO,close,618.4099731445312
AVY,open,164.13999938964844
AVY,close,169.4600067138672
AWK,open,148.14999389648438
AWK,close,148.4600067138672
AXP,open,156.5399932861328
AXP,close,158.4499969482422
AZO,open,2636.260009765625
AZO,close,2660.72998046875
BA,open,204.64999389648438
BA,close,206.0399932861328
BAC,open,28.520000457763672
BAC,close,28.889999389648438
BALL,open,51.68000030517578
BALL,close,52.709999084472656
BAX,open,47.0
BAX,close,46.79999923706055
BBWI,open,34.61000061035156
BBWI,close,34.77000045776367
BBY,open,71.6500015258789
BBY,close,73.52999877929688
BDX,open,258.6600036621094
BDX,close,263.29998779296875
BEN,open,26.389999389648438
BEN,close,26.6200008392334
BF-B,open,64.05999755859375
BF-B,close,65.27999877929688
BG,open,91.93000030517578
BG,close,92.69000244140625
BIIB,open,288.0
BIIB,close,293.7200012207031
BIO,open,435.6099853515625
BIO,close,436.45001220703125
BK,open,41.709999084472656
BK,close,42.0099983215332
BKNG,open,2622.0
BKNG,close,2639.43994140625
BKR,open,28.559999465942383
BKR,close,28.84000015258789
BLK,open,657.25
BLK,close,662.6799926757812
BMY,open,68.0199966430664
BMY,close,67.61000061035156
BR,open,140.8000030517578
BR,close,143.50999450683594
BRK-B,open,322.8599853515625
BRK-B,close,326.2300109863281
BRO,open,62.959999084472656
BRO,close,64.04000091552734
BSX,open,50.900001525878906
BSX,close,52.029998779296875
BWA,open,48.18000030517578
BWA,close,47.63999938964844
BXP,open,50.849998474121094
BXP,close,52.81999969482422
C,open,47.040000915527344
C,close,47.029998779296875
CAG,open,37.43000030517578
CAG,close,37.900001525878906
CAH,open,80.18000030517578
CAH,close,82.08000183105469
CARR,open,41.13999938964844
CARR,close,41.459999084472656
CAT,open,210.47999572753906
CAT,close,214.3300018310547
CB,open,197.63999938964844
CB,close,199.02999877929688
CBOE,open,137.25999450683594
CBOE,close,138.1999969482422
CBRE,open,72.05000305175781
CBRE,close,76.13999938964844
CCI,open,120.2300033569336
CCI,close,122.97000122070312
CCL,open,8.90999984741211
CCL,close,8.899999618530273
CDAY,open,63.83000183105469
CDAY,close,63.83000183105469
CDNS,open,204.83999633789062
CDNS,close,207.86000061035156
CDW,open,165.8300018310547
CDW,close,168.02999877929688
CE,open,101.3499984741211
CE,close,103.41000366210938
CEG,open,76.2699966430664
CEG,close,76.75
CF,open,71.86000061035156
CF,close,70.11000061035156
CFG,open,29.3799991607666
CFG,close,30.09000015258789
CHD,open,93.93000030517578
CHD,close,97.30000305175781
CHRW,open,95.26000213623047
CHRW,close,99.68000030517578
CHTR,open,326.5
CHTR,close,342.75
CI,open,249.44000244140625
CI,close,250.3300018310547
CINF,open,101.9800033569336
CINF,close,103.61000061035156
CL,open,76.98999786376953
CL,close,77.93000030517578
CLX,open,163.6699981689453
CLX,close,166.19000244140625
CMA,open,40.7599983215332
CMA,close,41.33000183105469
CMCSA,open,37.70000076293945
CMCSA,close,40.27000045776367
CME,open,184.75
CME,close,184.41000366210938
CMG,open,2025.9000244140625
CMG,close,2036.260009765625
CMI,open,227.27999877929688
CMI,close,230.88999938964844
CMS,open,62.130001068115234
CMS,close,62.5
CNC,open,66.58999633789062
CNC,close,68.5
CNP,open,30.420000076293945
CNP,close,30.81999969482422
COF,open,95.05000305175781
COF,close,95.98999786376953
COO,open,375.32000732421875
COO,close,378.1600036621094
COP,open,100.44999694824219
COP,close,101.2300033569336
COST,open,494.8299865722656
COST,close,501.2699890136719
CPB,open,54.380001068115234
CPB,close,54.97999954223633
CPRT,open,77.43000030517578
CPRT,close,77.76000213623047
CPT,open,104.31999969482422
CPT,close,106.52999877929688
CRL,open,187.02999877929688
CRL,close,183.7100067138672
CRM,open,194.1699981689453
CRM,close,195.94000244140625
CSCO,open,46.779998779296875
CSCO,close,46.560001373291016
CSGP,open,72.54000091552734
CSGP,close,77.16999816894531
CSX,open,30.200000762939453
CSX,close,30.389999389648438
CTAS,open,442.8599853515625
CTAS,close,450.82000732421875
CTLT,open,44.04999923706055
CTLT,close,46.95000076293945
CTRA,open,24.75
CTRA,close,25.15999984741211
CTSH,open,58.7400016784668
CTSH,close,59.209999084472656
CTVA,open,59.63999938964844
CTVA,close,60.66999816894531
CVS,open,72.31999969482422
CVS,close,73.05999755859375
CVX,open,166.42999267578125
CVX,close,166.9499969482422
CZR,open,41.939998626708984
CZR,close,43.40999984741211
D,open,56.06999969482422
D,close,57.349998474121094
DAL,open,33.04999923706055
DAL,close,33.33000183105469
DD,open,67.58000183105469
DD,close,68.69999694824219
DE,open,372.4200134277344
DE,close,371.8500061035156
DFS,open,101.55000305175781
DFS,close,101.98999786376953
DG,open,219.63999938964844
DG,close,221.5500030517578
DGX,open,146.85000610351562
DGX,close,141.00999450683594
DHI,open,106.83000183105469
DHI,close,108.33999633789062
DHR,open,232.91000366210938
DHR,close,231.4199981689453
DIS,open,97.12999725341797
DIS,close,99.93000030517578
DISH,open,7.059999942779541
DISH,close,7.320000171661377
DLR,open,97.79000091552734
DLR,close,101.75
DLTR,open,153.22999572753906
DLTR,close,153.3699951171875
DOV,open,141.5800018310547
DOV,close,144.5800018310547
DOW,open,52.63999938964844
DOW,close,53.5
DPZ,open,350.20001220703125
DPZ,close,317.1400146484375
DRI,open,149.3800048828125
DRI,close,151.1999969482422
DTE,open,112.44999694824219
DTE,close,113.44999694824219
DUK,open,98.41000366210938
DUK,close,99.47000122070312
DVA,open,86.51000213623047
DVA,close,88.01000213623047
DVN,open,52.5099983215332
DVN,close,52.25
DXC,open,23.010000228881836
DXC,close,23.350000381469727
DXCM,open,125.58000183105469
DXCM,close,123.58000183105469
EA,open,124.05000305175781
EA,close,126.51000213623047
EBAY,open,45.13999938964844
EBAY,close,45.560001373291016
ECL,open,163.5399932861328
ECL,close,166.16000366210938
ED,open,99.04000091552734
ED,close,99.18000030517578
EFX,open,200.5
EFX,close,205.72000122070312
EIX,open,73.26000213623047
EIX,close,73.56999969482422
EL,open,242.80999755859375
EL,close,245.6699981689453
ELV,open,457.6700134277344
ELV,close,465.3999938964844
EMN,open,80.44000244140625
EMN,close,80.55999755859375
EMR,open,82.33999633789062
EMR,close,82.83000183105469
ENPH,open,166.52999877929688
ENPH,close,164.17999267578125
EOG,open,115.6500015258789
EOG,close,115.83999633789062
EPAM,open,275.4700012207031
EPAM,close,279.25
EQIX,open,709.27001953125
EQIX,close,719.8400268554688
EQR,open,60.599998474121094
EQR,close,61.810001373291016
EQT,open,32.75
EQT,close,33.540000915527344
ES,open,77.5999984741211
ES,close,77.9800033569336
ESS,open,208.74000549316406
ESS,close,211.4600067138672
ETN,open,163.10000610351562
ETN,close,167.97000122070312
ETR,open,105.08000183105469
ETR,close,107.18000030517578
ETSY,open,100.21499633789062
ETSY,close,100.48999786376953
EVRG,open,61.95000076293945
EVRG,close,62.529998779296875
EW,open,85.0
EW,close,86.72000122070312
EXC,open,42.91999816894531
EXC,close,42.779998779296875
EXPD,open,107.38999938964844
EXPD,close,111.5999984741211
EXPE,open,91.0
EXPE,close,92.41000366210938
EXR,open,149.3300018310547
EXR,close,151.1199951171875
F,open,11.609999656677246
F,close,11.609999656677246
FANG,open,136.89999389648438
FANG,close,138.05999755859375
FAST,open,52.720001220703125
FAST,close,53.939998626708984
FCX,open,37.189998626708984
FCX,close,37.470001220703125
FDS,open,404.25
FDS,close,410.1600036621094
FDX,open,224.13999938964844
FDX,close,225.94000244140625
FE,open,40.810001373291016
FE,close,41.119998931884766
FFIV,open,131.35000610351562
FFIV,close,132.05999755859375
