profit, cluster
-0.289993, 1
0.0900002, 1
-3.1, 0
-3.22, 0
5, 1
-2.42, 1
-0.790001, 1
-1.25999, 1
-1.60001, 1
-5.48001, 0
0.910004, 1
-1.31001, 1
-4.17, 0
2.24001, 1
-0.840004, 1
-0.449997, 1
-0.26, 1
-3.87, 0
-1.04, 1
-2.78, 0
-3.97, 0
-2.06, 1
-4.14999, 0
4.22, 1
-0.510002, 1
-1.39, 1
-0.900002, 1
-0.379997, 1
-0.18, 1
-1.03, 1
-2.95, 0
-1.09999, 1
-7.73999, 0
-5.3, 0
-1.66, 1
0.25, 1
-2.04001, 1
-5.07999, 0
1.03, 1
-0.240002, 1
-3.23001, 0
-1.07, 1
1.3, 1
-2.59, 1
-0.870003, 1
-0.440002, 1
-3.12, 0
-2.21997, 1
-5.32001, 0
-0.310013, 1
-1.91, 1
-24.47, 2
-1.39, 1
-0.369999, 1
-1.03, 1
0.200001, 1
-0.16, 1
-1.88, 1
-4.63998, 0
-0.230001, 1
-1.22, 1
-0.760002, 1
-5.72, 0
-0.840027, 1
-0.299999, 1
-17.4399, 2
-0.280001, 1
-5.42999, 0
0.409996, 1
-2.70999, 1
-3.37003, 0
-1.08, 1
-1.13, 1
0.540001, 1
-1.97, 1
0.0100021, 1
-0.470001, 1
-1.9, 1
-0.32, 1
-3.85001, 0
-1.39, 1
-0.940002, 1
-4.09, 0
-2.74, 1
0.0100002, 1
0, 1
-3.02, 0
-2.2, 1
-2.06001, 1
-0.480003, 1
1.75, 1
-0.710001, 1
-3.37, 0
-4.42, 0
-16.25, 2
-0.889999, 1
-1.63, 1
-0.940002, 1
-2.52, 1
-0.570004, 1
-2.57, 1
0.339996, 1
-10.36, 0
-3.61, 0
-0.369999, 1
-1.91, 1
-0.4, 1
-0.939995, 1
-2.84, 0
-0.780006, 1
-6.44, 0
-0.599998, 1
-0.330002, 1
-2.21, 1
3.31999, 1
-1.77, 1
0.219997, 1
-4.63, 0
-0.189999, 1
-7.96002, 0
-2.9, 0
-0.41, 1
-0.469997, 1
-1.03, 1
-0.739998, 1
-0.520004, 1
-1.47, 1
-1.28, 1
-0.280003, 1
-1.12, 1
0.570007, 1
-0.439995, 1
-1.91, 1
5.84001, 1
-1.50999, 1
1.49001, 1
-2.8, 0
-0.26, 1
-3.96, 0
-0.139999, 1
-3, 0
-0.860001, 1
33.06, 4
-1.81999, 1
-1, 1
-1.06, 1
-1.5, 1
0.259998, 1
-0.34, 1
2, 1
-2.46, 1
